Time,reviews_id,Reviews,id_user,user name,order_id,items_id,shop_id,rating status,scores,shipping
Sat Dec 18 20:54:05 2021,6957215453,"Shop giao hàng nhanh, gói hàng đủ và cẩn thận. Dùng ổn lắm nha mọi người!",60891315,m*****8,93017574488317,3422188753,237816484,1,5,vn
Tue Dec 21 17:31:38 2021,6988356894,Hàng đẹp ổn chất lượng giao nhanh rất êm và thíchhhhhhhhhhhhh,158204401,maimot2004,93331457383410,3422188753,237816484,1,5,vn
Tue Jan 18 15:28:37 2022,7248707101,"Shop giao đủ hàng, đẹp. Hình ảnh mang tính minh hoạ. Sẽ ủng hộ lần sau🥰🥰🥰🥰🥰🥰🥰🥰🥰",68053391,m*****_,95911645209926,3422188753,237816484,1,5,vn
Sat Jan  8 15:41:36 2022,7160302527,"Miếng dáng rất là êm luôn, giao đúng mẫu , đặc biệt giao hàng rất là nhanh",187173649,elitespa123,94488269197627,3422188753,237816484,1,5,vn
Sun Jan 16 11:51:36 2022,7229879009,"Miếng lót vẫn mũi ko dính nên hay xê dịch, miếng lót phần gót êm, chống nhấc gót ok, cục khử mùi chưa sài nên chưa biết, đủ hàng",16271483,myb98,95658794004053,3422188753,237816484,1,5,vn
Wed Jan  5 11:43:42 2022,7125545560,Sản phẩm rất tốt giao hàng nhanh tầm 2 ngày là có hàng shop cũng rất nhiệt tình sẽ ủng hộ lần sau,563006253,_truongthanhthuy041199_,94836904163344,3422188753,237816484,1,5,vn
Fri Dec 17 15:05:49 2021,6940024046,"Shop giao đúng size, mùi quế thơm nức mũi luôn! Shop đóng hàng nhanh nhẹn^_^",91458731,trangnegato,93160332454273,6451569481,299229888,1,5,vn
Wed Jan 19 14:13:41 2022,7257586385,"Lần đàu mua hàng của shop. Shop nhiệt tình. Chất lượng tất đẹp, dày dặn. Ưng",525656,trang_che,95930488301175,6451569481,299229888,1,5,vn
Sun Jan  9 18:13:35 2022,7170092497,"Lót thơm, đi êm chân, đường may chắc chắn đẹp thích hợp cho đàn ông mang giày đi làm",4902666,pyyhy,93510945423038,6451569481,299229888,1,5,vn
Sun Dec 12 14:49:23 2021,6874478902,"Chất lượng sp tốt
From nhỏ mn nhe màu tây lắm…………………………………",49294314,hongpham2903,92022996072740,6451569481,299229888,1,5,vn
Thu Nov 25 20:56:04 2021,6715955845,Hàng giao đúng màu như đã chọn! Rất hài lòng về sản phẩm! Rất thích!,7673150,zxthedeathxz,91150694348595,6451569481,299229888,1,5,vn
Mon Nov 22 16:21:46 2021,6682220842,"Giao hàng nhanh, đóng gói cẩn thận, sản phẩm đẹp ,....vvv.. v",394531157,t*****5,90999499466420,6451569481,299229888,1,5,vn
Wed Oct 20 06:12:24 2021,6341898877,"Hàng đẹp hơi to so với chân , giao hàng nhanh , shipper thân thiện",449545297,0ve1ueftj8,87812019026372,5551027793,32572002,1,5,vn
